ordinal	source_sha	responsible_owner	source_subject	disposition	target_impact	evidence	status	follow_up
126	2ff4ed2a93527f1a7eeb56f2b9a8c52f10368ab5	product-owner:tightbeam	Merge build-qualified release tag validation into 0.1.8	OMIT	Merge topology only; rows 123-124 govern	merge parents; constituent rows	COMPLETE	none
127	7ae16ed4a2d90484af2d0cd2b88b9d2565af40b7	product-owner:tightbeam	Make real fixtures proportional to MVP risk	OMIT	Source line later removed this rejected guidance	source rows 133-134; reconciliation spec	COMPLETE	none
128	8765c22eb3577380c4401b27e544adaf71684a94	product-owner:tightbeam	Fix holder verdict selection on 0.1.8	OMIT	Current main has stronger holder-verdict selection	main:bf4bbd26 and current assignment tests	COMPLETE	none
129	fdb3db53b596d4114d06505b39a4c1836fba7564	product-owner:tightbeam	Merge pull request #24 from clickety-clacks/fix/revoked-review-selection-018	OMIT	Merge topology only; row 128 governs	merge parents; constituent row 128	COMPLETE	none
130	4f892babf687268a9138d34f96f563c268c67fc2	product-owner:tightbeam	guidance: require agent-owned repository clones	OMIT	Equivalent guidance is on main	main:141efd5a	COMPLETE	none
131	cf7a9cc833957dc345db7b46b63ac237764e676f	product-owner:tightbeam	guidance: forbid handed-off repository adoption	OMIT	Patch-equivalent guidance is on main	git-cherry minus; main:14225980	COMPLETE	none
132	e4c9234aa50e42bfdfa6fadd0937dff52d566c66	product-owner:tightbeam	Merge pull request #33 from clickety-clacks/product/clone-own-repo-guidance-019	OMIT	Merge topology only; rows 130-131 govern	merge parents; constituent rows	COMPLETE	none
133	94d625222df0cea43c543993f225971fc9f1a8a5	product-owner:tightbeam	Remove rejected real-fixture exception from 0.1.9	OMIT	Removal completes the rejected source add/remove sequence	source row 127; reconciliation spec	COMPLETE	none
134	6c0eacb337c1de086d8d7d76f1c1dc57cad9a3d5	product-owner:tightbeam	Merge pull request #35 from clickety-clacks/coder/asg-3e9e90fc-019-inverse	OMIT	Merge topology only; row 133 governs	merge parents; constituent row 133	COMPLETE	none
135	7090a63069ec024a918ade3f659bbd5560936285	product-owner:tightbeam	Adapt decision expecter preference to 0.1.9	OMIT	Current main already has the decision expecter feature	main:e02cab00,cbf26127,784a34e6	COMPLETE	none
136	3125dfb6df4f1ab62c82e77fb93694eb1ad5015b	product-owner:tightbeam	Add external-agent CLI skill to 0.1.9	OMIT	Current main has the external-agent operation skills	main:ffcb715b	COMPLETE	none
137	d483a9c8856adee376751957fd9afa17acaa1ad2	product-owner:tightbeam	feat: preserve terminal operator decisions	OMIT	Current main has terminal operator decision parity	main:ec045a08 and successors	COMPLETE	none
138	2c15310f0dbf04880db669ab7a4bd9b3752b987c	product-owner:tightbeam	fix: align terminal decision integrity parity	OMIT	Current main has equivalent integrity parity	main:ec045a08,351d6fb2	COMPLETE	none
139	4b7735549f926ba0aab02d1e1c38fdf5af061c5d	product-owner:tightbeam	fix: distinguish terminal integrity structures	OMIT	Current main has the canonical structural descriptor	main:cb92559f,351d6fb2	COMPLETE	none
140	a2a58d22d76a27738fdcb5b70e450055e4fe7391	product-owner:tightbeam	fix: align terminal integrity descriptor schema	OMIT	Current main has aligned descriptor schema	main terminal decision chain	COMPLETE	none
141	b35321d30a97ad61f2e0b643d04ea49cef67feb5	product-owner:tightbeam	test: pin normalized terminal ruling text	OMIT	Current main pins normalized ruling text	main:4495cd95 and terminal tests	COMPLETE	none
142	3246e167781957c4d39e4fb9eea1c71f9bd94fca	product-owner:tightbeam	fix: preserve nonterminal decision detail shape	OMIT	Current main preserves nonterminal detail shape	main terminal decision chain	COMPLETE	none
143	e052beda9c8976424d623d42d2f4e3f1b53d666f	product-owner:tightbeam	test: capture terminal decision wire compatibility	OMIT	Current main has captured terminal wire proof	main terminal decision tests	COMPLETE	none
144	b742324bd6d2d85949a12cb702d65013465ed3a8	product-owner:tightbeam	test: prove terminal decision failure matrices	OMIT	Current main has terminal failure matrices	main terminal decision tests	COMPLETE	none
145	91b286db6a856ac3b6c23c9e465381c1402a6ad0	product-owner:tightbeam	fix: admit impossible predecessor decision shapes	OMIT	Current main migration handles predecessor shapes	main terminal decision schema tests	COMPLETE	none
146	586297a6651d5a49e0b190558f61a9a10407c5ef	product-owner:tightbeam	test: close terminal failure controls	OMIT	Current main closes terminal failure controls	main terminal decision tests	COMPLETE	none
147	a0768ff23ce178290941d174d6c62cd5c9564f43	product-owner:tightbeam	fix: validate terminal replay before parsing	OMIT	Current main validates replay before parsing	main terminal decision chain	COMPLETE	none
148	179f5647c43ad603248535f9e96290d3972fb216	product-owner:tightbeam	test: mirror terminal delivery replay coverage	OMIT	Current main has terminal replay coverage	main terminal decision tests	COMPLETE	none
149	cabce9b12917dcf0a1552f729d70d98cdd2b8ee2	product-owner:tightbeam	fix(cli): require complete decision request ids	OMIT	Current main requires canonical complete decision request ids	main:524a9862,f2168710	COMPLETE	none
150	64f205a079aefdfbb475e85a9ef3f8d3c026fb97	product-owner:tightbeam	test(cli): capture target-conditional parity proof	OMIT	Current main has its target-appropriate CLI and REST proof	main decision CLI/REST tests	COMPLETE	none
151	f5e9605be70134c00cd52c2653365704d8fc27b3	product-owner:tightbeam	test(cli): use complete effort request ids	OMIT	Current main uses canonical effort request ids	main current CLI tests	COMPLETE	none
152	fdec945aae17c00acdf6e7187dcf31e48cb4c1f3	product-owner:tightbeam	feat: port notice batching v1 to 0.1.9	OMIT	Notice batching originated on main and remains stronger there	main:c5cb9ac3,d288f73e,10dfef1f and successors	COMPLETE	none
153	7eec98b7848340ae00e2b564a4eb97c0f429a445	product-owner:tightbeam	fix: close notice batching review gaps	OMIT	Current main contains the reviewed privacy and retirement closures	main:507f040b,74f9748c and successors	COMPLETE	none
154	366de26a58d1d0f5178033ab86ec7cb7eb359f37	product-owner:tightbeam	Fix test receipt gating by producer effect	OMIT	Current main gates review by explicit producing effect kinds	main current engineering rule and rules tests	COMPLETE	none
155	bdf0ad2c9ae4078f897a00e8c57767968676477c	product-owner:tightbeam	fix: enforce canonical decision request ids	OMIT	Equivalent canonical-ID enforcement is on main	main:f2168710	COMPLETE	none
156	077750cb7f090de76bb7c742fa2cfe9cbe4e8067	product-owner:tightbeam	Add priority-scaled card inactivity checks	OMIT	Current main has priority-scaled inactivity checks	main:4c52e6c1	COMPLETE	none
157	bf419bdbe8466c4e88405cc426c30d3886bdf860	product-owner:tightbeam	Prove closed cards inherit priority changes	OMIT	Current main has the closed-priority regression test	main:test/effort_checkin_test.exs closed priority	COMPLETE	none
158	09ff462070ee6152d999116a1aff2c1c905bcdeb	product-owner:tightbeam	Fix inactivity activity scoping	OMIT	Current main has the same scoping fix	main:9eed8395	COMPLETE	none
159	0a1494537478b3e0a314a4a54fbaa162e9da8bc3	product-owner:tightbeam	Forward effort config through assignment gateway	OMIT	Current main forwards effort configuration	main:2fcf6f53,e9184ff2	COMPLETE	none
160	aa128c611030651a1a289d60712f6f836a1e092d	product-owner:tightbeam	guidance: a presenting proxy may record a ruling the operator delegates	OMIT	Equivalent guidance is on main	main:94d7b436	COMPLETE	none
161	ebe04f2af76a827665031f9d867b0b655fb421ce	product-owner:tightbeam	guidance: put Mike's golden rule first	OMIT	Equivalent guidance is on main	main:b4e9da44	COMPLETE	none
162	74a034cd0254e9b9dea522dff8a4bc4706e96b67	product-owner:tightbeam	Merge remote-tracking branch 'origin/0.1.9' into guidance/golden-rule-019	OMIT	Merge topology only; rows 160-163 govern guidance	merge parents; constituent rows	COMPLETE	none
163	2e918768556ef16a4412f9e0844bb388b6fb1051	product-owner:tightbeam	guidance: share golden rule across archetypes	OMIT	Equivalent guidance is on main	main:a4f3c032	COMPLETE	none
164	118b6e3feff81d7587e0df43c5034ff6372e1bf8	product-owner:tightbeam	feat(toplines): activate V5 persistence schema	OMIT	Toplines V5 originated on main and is active there	main:985cfd8f	COMPLETE	none
165	92e2bff01032bace6150ee02f67142cbebae9a55	product-owner:tightbeam	fix(build): reuse current Toplines extension	OMIT	Patch-equivalent build fix is on main	git-cherry minus; main:8ca70f0b	COMPLETE	none
166	f4e5e6a197abd0e75da70d2b7a0a2e316cbc3252	product-owner:tightbeam	Preserve effort request exit after liveness loss on 0.1.9	OMIT	Current main has the stronger durable effort-terminal fix	main:bf647e26,34e2bdf1	COMPLETE	none
167	7f992e6a99693e9dde1fbd9b32f24d1ae803b53e	product-owner:tightbeam	fix(toplines): close Lane 1 review findings	OMIT	Patch-equivalent Toplines review closure is on main	git-cherry minus; main:efb53838	COMPLETE	none
168	b249a31090d15e9fe252dd197dfd1863ba9164c8	product-owner:tightbeam	feat(identity): adapt universal root publication to 0.1.9	OMIT	Universal-root publication originated on main	main:46403697	COMPLETE	none
169	8ad6fece80a96b71034a7b44c32a917e788cf42d	product-owner:tightbeam	fix(toplines): track Work Item dependency versions	OMIT	Equivalent dependency-version tracking is on main	main:973c9cc0 and Toplines lane integration	COMPLETE	none
170	4f6874a899e4698d5a63a3593c4408c080d7ce56	product-owner:tightbeam	Merge active 0.1.9 effort exit migration	OMIT	Merge topology only; row 166 governs	merge parents; constituent row 166	COMPLETE	none
171	11203c86777c33b6e5ad8518867fa2d736734538	product-owner:tightbeam	Make identity publication retries deterministic	REFACTOR+APPLY	Harden main-origin universal-root publication with deterministic retries	source diff/tests; depends on main:46403697	PLANNED	plan:Required target work item 4
172	10ea356a26e7bad1eee91d7af6d44ccdc4e7c942	product-owner:tightbeam	Fence pending kungfu unlearn retries	REFACTOR+APPLY	Fence pending unlearn retries in current identity publication	source diff/tests; depends on row 171 and main:46403697	PLANNED	plan:Required target work item 4
173	e6453e2f3ee32c42563c43d7b2e6e988b466a5c1	product-owner:tightbeam	Stamp 0.1.9 migration provenance	OMIT	0.1.9 schema migration provenance is line-only	source-line-only schema activation	COMPLETE	none
174	885c41dc91bcc60057669182ce108302f15ba083	product-owner:tightbeam	Migrate the real 0.1.9 terminal schema	OMIT	0.1.9 terminal fixture migration is line-only	source-line-only schema fixture	COMPLETE	none
175	403d8301a6cdeae9108b065beb4b44c88b096303	product-owner:tightbeam	Fail fast when gate toolchains are unavailable	OMIT	Patch-equivalent toolchain preflight is on main	git-cherry minus; main:56cdbcb7	COMPLETE	none
176	a8088e8fa540257c9f9674c4e011bf53ae909a27	product-owner:tightbeam	feat(toplines): reconcile Lane 1 onto 0.1.9	OMIT	Current main has the complete Toplines Lane 1 integration	main:d192bfaf,61380cbe,d0dbf34d	COMPLETE	none
177	38ffa1b0a35b13841b0cb278215f1e7fcd0fb4fe	product-owner:tightbeam	fix(gate): accept binary patch releases of the pinned OTP line	OMIT	Patch-equivalent gate fix is on main	git-cherry minus; main:c5ba4488	COMPLETE	none
178	9d04194310b07c4df294e61a0af0e55b4d529472	product-owner:tightbeam	fix(gate): refuse malformed suffixes on the pinned OTP line	OMIT	Patch-equivalent malformed-suffix refusal is on main	git-cherry minus; main:6e852693	COMPLETE	none
179	73e1e3b45d53fe84d879a51a77acbbd7a9567bf1	product-owner:tightbeam	Merge pull request #37 from gdiab/fix/gate-preflight-otp-patch	OMIT	Merge topology only; rows 177-178 govern	merge parents; constituent rows 177-178	COMPLETE	none
